Date : 2024-06-30 16:47:04
Directory : d:\do-an-tot-nghiep\DATN
Total : 266 files,  35047 codes, 760 comments, 2211 blanks, all 38018 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\app\shared\components\pagination                                                                     |          2 |         54 |          0 |          8 |         62 |
| src\app\shared\components\plus-icon                                                                      |          4 |         59 |          0 |         11 |         70 |
| src\app\shared\components\schedule-card                                                                  |          4 |         55 |          0 |         13 |         68 |
| src\app\shared\components\select                                                                         |          4 |         47 |          0 |         10 |         57 |
| src\app\shared\components\textavatar                                                                     |          4 |         53 |         10 |         11 |         74 |
| src\app\shared\components\video-player-icon                                                              |          4 |         53 |          0 |         11 |         64 |
| src\app\shared\components\warning-icon                                                                   |          4 |         57 |          0 |         13 |         70 |
| src\app\shared\exception                                                                                 |         10 |      1,579 |          0 |         38 |      1,617 |
| src\assets                                                                                               |          1 |        577 |          0 |          1 |        578 |
| src\constants                                                                                            |          1 |          3 |          0 |          0 |          3 |
| src\environments                                                                                         |          2 |         20 |         18 |          4 |         42 |
| src\helper                                                                                               |          1 |          3 |          0 |          1 |          4 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                 | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\do-an-tot-nghiep\DATN\.gitlab-ci.yml                                                                  | YAML               |         32 |         11 |          5 |         48 |
| d:\do-an-tot-nghiep\DATN\README.md                                                                       | Markdown           |         10 |          0 |          5 |         15 |
| d:\do-an-tot-nghiep\DATN\angular.json                                                                    | JSON               |        125 |          0 |          1 |        126 |
| d:\do-an-tot-nghiep\DATN\karma.conf.js                                                                   | JavaScript         |         37 |          6 |          2 |         45 |
| d:\do-an-tot-nghiep\DATN\package-lock.json                                                               | JSON               |     13,989 |          0 |          1 |     13,990 |
| d:\do-an-tot-nghiep\DATN\package.json                                                                    | JSON               |         77 |          0 |          1 |         78 |
| d:\do-an-tot-nghiep\DATN\src\_app-layout.less                                                            | Less               |         57 |          0 |          8 |         65 |
| d:\do-an-tot-nghiep\DATN\src\app\_guards\authGuard.ts                                                    | TypeScript         |         13 |          2 |          4 |         19 |
| d:\do-an-tot-nghiep\DATN\src\app\_guards\authInterceptor.ts                                              | TypeScript         |         82 |          3 |         17 |        102 |
| d:\do-an-tot-nghiep\DATN\src\app\app-routing.module.ts                                                   | TypeScript         |         40 |          1 |          3 |         44 |
| d:\do-an-tot-nghiep\DATN\src\app\app.component.html                                                      | HTML               |          1 |          0 |          1 |          2 |
| d:\do-an-tot-nghiep\DATN\src\app\app.component.less                                                      | Less               |         20 |          0 |          5 |         25 |
| d:\do-an-tot-nghiep\DATN\src\app\app.component.spec.ts                                                   | TypeScript         |         31 |          0 |          5 |         36 |
| d:\do-an-tot-nghiep\DATN\src\app\app.component.ts                                                        | TypeScript         |          7 |          0 |          2 |          9 |
| d:\do-an-tot-nghiep\DATN\src\app\app.module.ts                                                           | TypeScript         |         60 |          0 |          4 |         64 |
| d:\do-an-tot-nghiep\DATN\src\app\authentication\authentication-routing.module.ts                         | TypeScript         |         19 |          0 |          3 |         22 |
| d:\do-an-tot-nghiep\DATN\src\app\authentication\authentication.module.ts                                 | TypeScript         |         38 |          0 |          4 |         42 |
| d:\do-an-tot-nghiep\DATN\src\app\authentication\login\login.component.html                               | HTML               |         40 |          0 |          4 |         44 |
| d:\do-an-tot-nghiep\DATN\src\app\authentication\login\login.component.less                               | Less               |        212 |         25 |          9 |        246 |
| d:\do-an-tot-nghiep\DATN\src\app\authentication\login\login.component.spec.ts                            | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\authentication\login\login.component.ts                                 | TypeScript         |        100 |          1 |         10 |        111 |
| d:\do-an-tot-nghiep\DATN\src\app\authentication\signup\signup.component.html                             | HTML               |         91 |          0 |          2 |         93 |
| d:\do-an-tot-nghiep\DATN\src\app\authentication\signup\signup.component.less                             | Less               |        212 |         22 |          8 |        242 |
| d:\do-an-tot-nghiep\DATN\src\app\authentication\signup\signup.component.spec.ts                          | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\authentication\signup\signup.component.ts                               | TypeScript         |        118 |          1 |         10 |        129 |
| d:\do-an-tot-nghiep\DATN\src\app\configs\my-rx-stomp.config.ts                                           | TypeScript         |         15 |         11 |          5 |         31 |
| d:\do-an-tot-nghiep\DATN\src\app\configs\rx-stomp-service-factory.ts                                     | TypeScript         |          8 |          0 |          1 |          9 |
| d:\do-an-tot-nghiep\DATN\src\app\global.service.ts                                                       | TypeScript         |          6 |          0 |          4 |         10 |
| d:\do-an-tot-nghiep\DATN\src\app\icons-provider.module.ts                                                | TypeScript         |         18 |          0 |          4 |         22 |
| d:\do-an-tot-nghiep\DATN\src\app\layout\layout.component.html                                            | HTML               |          1 |          0 |          0 |          1 |
| d:\do-an-tot-nghiep\DATN\src\app\layout\layout.component.less                                            | Less               |         24 |         21 |         10 |         55 |
| d:\do-an-tot-nghiep\DATN\src\app\layout\layout.component.spec.ts                                         | TypeScript         |         17 |          0 |          6 |         23 |
| d:\do-an-tot-nghiep\DATN\src\app\layout\layout.component.ts                                              | TypeScript         |         10 |          0 |          3 |         13 |
| d:\do-an-tot-nghiep\DATN\src\app\models\CourseFilterModel.model.ts                                       | TypeScript         |          9 |          0 |          0 |          9 |
| d:\do-an-tot-nghiep\DATN\src\app\models\MessageModel.model.ts                                            | TypeScript         |          8 |          0 |          0 |          8 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\check-course\check-course.component.html                    | HTML               |        297 |         15 |         28 |        340 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\check-course\check-course.component.less                    | Less               |         66 |          0 |          9 |         75 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\check-course\check-course.component.spec.ts                 | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\check-course\check-course.component.ts                      | TypeScript         |        768 |         19 |         75 |        862 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\check-lesson\check-lesson.component.html                    | HTML               |        203 |          6 |         19 |        228 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\check-lesson\check-lesson.component.less                    | Less               |         92 |          0 |         14 |        106 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\check-lesson\check-lesson.component.spec.ts                 | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\check-lesson\check-lesson.component.ts                      | TypeScript         |        693 |         16 |         60 |        769 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\course-manage\course-manage.component.html                  | HTML               |        138 |          2 |          9 |        149 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\course-manage\course-manage.component.less                  | Less               |         61 |         10 |         11 |         82 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\course-manage\course-manage.component.spec.ts               | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\course-manage\course-manage.component.ts                    | TypeScript         |        276 |          1 |         33 |        310 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\request-course\request-course.component.html                | HTML               |         70 |          1 |          1 |         72 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\request-course\request-course.component.less                | Less               |         61 |         10 |         11 |         82 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\request-course\request-course.component.spec.ts             | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\request-course\request-course.component.ts                  | TypeScript         |        279 |          1 |         33 |        313 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\user-manage\user-manage.component.html                      | HTML               |        427 |          6 |         11 |        444 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\user-manage\user-manage.component.less                      | Less               |         57 |         10 |         10 |         77 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\user-manage\user-manage.component.spec.ts                   | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\admin\user-manage\user-manage.component.ts                        | TypeScript         |        235 |          1 |         27 |        263 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\layout-user\layout-user.component.html                            | HTML               |        139 |         14 |          8 |        161 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\layout-user\layout-user.component.less                            | Less               |        248 |          4 |         40 |        292 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\layout-user\layout-user.component.spec.ts                         | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\layout-user\layout-user.component.ts                              | TypeScript         |        243 |         30 |         24 |        297 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\page-routing.module.ts                                            | TypeScript         |        153 |          0 |          3 |        156 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\page.module.ts                                                    | TypeScript         |        188 |          0 |          4 |        192 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\course-manager\course-manager.component.html              | HTML               |         43 |          0 |          5 |         48 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\course-manager\course-manager.component.less              | Less               |          0 |          0 |          1 |          1 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\course-manager\course-manager.component.spec.ts           | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\course-manager\course-manager.component.ts                | TypeScript         |        135 |          0 |         14 |        149 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\edit-course\edit-course.component.html                    | HTML               |        213 |          4 |         22 |        239 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\edit-course\edit-course.component.less                    | Less               |         77 |          0 |         11 |         88 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\edit-course\edit-course.component.spec.ts                 | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\edit-course\edit-course.component.ts                      | TypeScript         |        878 |         21 |         81 |        980 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\edit-lesson\edit-lesson.component.html                    | HTML               |          1 |          0 |          1 |          2 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\edit-lesson\edit-lesson.component.less                    | Less               |          0 |          0 |          1 |          1 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\edit-lesson\edit-lesson.component.spec.ts                 | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\edit-lesson\edit-lesson.component.ts                      | TypeScript         |          8 |          0 |          3 |         11 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\new-course\new-course.component.html                      | HTML               |        312 |        108 |         22 |        442 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\new-course\new-course.component.less                      | Less               |         89 |          0 |         12 |        101 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\new-course\new-course.component.spec.ts                   | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\new-course\new-course.component.ts                        | TypeScript         |        761 |          8 |         66 |        835 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\reels\reels.component.html                                | HTML               |        117 |          0 |         10 |        127 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\reels\reels.component.less                                | Less               |        110 |          1 |         17 |        128 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\reels\reels.component.spec.ts                             | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\reels\reels.component.ts                                  | TypeScript         |        240 |         11 |         23 |        274 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\student-manager\student-manager.component.html            | HTML               |        236 |          5 |         11 |        252 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\student-manager\student-manager.component.less            | Less               |         57 |         10 |         10 |         77 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\student-manager\student-manager.component.spec.ts         | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\teacher\student-manager\student-manager.component.ts              | TypeScript         |        268 |          2 |         30 |        300 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\buy-course\buy-course.component.html                         | HTML               |        197 |          5 |          7 |        209 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\buy-course\buy-course.component.less                         | Less               |        443 |          3 |         45 |        491 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\buy-course\buy-course.component.spec.ts                      | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\buy-course\buy-course.component.ts                           | TypeScript         |        283 |          1 |         26 |        310 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\chat\chat.component.html                                     | HTML               |        195 |          3 |          5 |        203 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\chat\chat.component.less                                     | Less               |        299 |          1 |         11 |        311 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\chat\chat.component.spec.ts                                  | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\chat\chat.component.ts                                       | TypeScript         |        104 |         53 |         19 |        176 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\detail-course\detail-course.component.html            | HTML               |        307 |         16 |         32 |        355 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\detail-course\detail-course.component.less            | Less               |         66 |          0 |          9 |         75 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\detail-course\detail-course.component.spec.ts         | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\detail-course\detail-course.component.ts              | TypeScript         |        650 |         18 |         68 |        736 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\learning-course\learning-course.component.html        | HTML               |        229 |          6 |         23 |        258 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\learning-course\learning-course.component.less        | Less               |         92 |          0 |         14 |        106 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\learning-course\learning-course.component.spec.ts     | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\learning-course\learning-course.component.ts          | TypeScript         |        689 |         16 |         59 |        764 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\list-course\directives\next.directive.spec.ts         | TypeScript         |          7 |          0 |          2 |          9 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\list-course\directives\next.directive.ts              | TypeScript         |         13 |          0 |          3 |         16 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\list-course\directives\prev.directive.spec.ts         | TypeScript         |          7 |          0 |          2 |          9 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\list-course\directives\prev.directive.ts              | TypeScript         |         13 |          0 |          4 |         17 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\list-course\list-course.component.html                | HTML               |        203 |          5 |         17 |        225 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\list-course\list-course.component.less                | Less               |        122 |          2 |         19 |        143 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\list-course\list-course.component.spec.ts             | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\list-course\list-course.component.ts                  | TypeScript         |        257 |          1 |         34 |        292 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\quiz\quiz.component.html                              | HTML               |        157 |          0 |         17 |        174 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\quiz\quiz.component.less                              | Less               |         54 |          0 |          8 |         62 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\quiz\quiz.component.spec.ts                           | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\quiz\quiz.component.ts                                | TypeScript         |        177 |          0 |         26 |        203 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\file-manage\file-manage.component.html                       | HTML               |         36 |          0 |          3 |         39 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\file-manage\file-manage.component.less                       | Less               |         32 |          0 |          5 |         37 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\file-manage\file-manage.component.spec.ts                    | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\file-manage\file-manage.component.ts                         | TypeScript         |        195 |          3 |          9 |        207 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\home-page\home-page.component.html                           | HTML               |         63 |         18 |          5 |         86 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\home-page\home-page.component.less                           | Less               |        163 |          5 |         26 |        194 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\home-page\home-page.component.spec.ts                        | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\home-page\home-page.component.ts                             | TypeScript         |         98 |          0 |         11 |        109 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\message\message.component.html                               | HTML               |         13 |          0 |          0 |         13 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\message\message.component.less                               | Less               |          0 |          0 |          1 |          1 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\message\message.component.spec.ts                            | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\message\message.component.ts                                 | TypeScript         |         55 |          0 |          8 |         63 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\my-calendar\my-calendar.component.html                       | HTML               |        130 |          0 |         16 |        146 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\my-calendar\my-calendar.component.less                       | Less               |         48 |         11 |          9 |         68 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\my-calendar\my-calendar.component.spec.ts                    | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\my-calendar\my-calendar.component.ts                         | TypeScript         |        159 |          1 |         23 |        183 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\profile\profile.component.html                               | HTML               |        146 |          0 |          0 |        146 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\profile\profile.component.less                               | Less               |         32 |          0 |          1 |         33 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\profile\profile.component.spec.ts                            | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\profile\profile.component.ts                                 | TypeScript         |         85 |          0 |         12 |         97 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\videos\list-videos\list-videos.component.html                | HTML               |         24 |          0 |          3 |         27 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\videos\list-videos\list-videos.component.less                | Less               |         99 |          1 |         15 |        115 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\videos\list-videos\list-videos.component.spec.ts             | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\videos\list-videos\list-videos.component.ts                  | TypeScript         |         32 |          0 |          6 |         38 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\videos\watch-video\watch-video.component.html                | HTML               |         52 |         21 |          8 |         81 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\videos\watch-video\watch-video.component.less                | Less               |         21 |          0 |          4 |         25 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\videos\watch-video\watch-video.component.spec.ts             | TypeScript         |         18 |          0 |          6 |         24 |
| d:\do-an-tot-nghiep\DATN\src\app\pages\user\videos\watch-video\watch-video.component.ts                  | TypeScript         |         81 |          0 |         10 |         91 |
| d:\do-an-tot-nghiep\DATN\src\app\service\authentication\authentication.service.spec.ts                   | TypeScript         |         12 |          0 |          5 |         17 |
| d:\do-an-tot-nghiep\DATN\src\app\service\authentication\authentication.service.ts                        | TypeScript         |         84 |          3 |         15 |        102 |
| d:\do-an-tot-nghiep\DATN\src\app\service\chat-service\chat.service.spec.ts                               | TypeScript         |         12 |          0 |          5 |         17 |
| d:\do-an-tot-nghiep\DATN\src\app\service\chat-service\chat.service.ts                                    | TypeScript         |         28 |          0 |          5 |         33 |
